Year,Geography,Pattype,Category,Cat_value,Dxgroup,Count,Total,Percent
2022,Statewide,Inpatient,Sex,Female,Substance Use Disorders,71564,1967212,0.036378387
2022,Statewide,Inpatient,Sex,Male,All Other Diagnoses,1118079,1635737,0.683532255
2022,Statewide,Inpatient,Sex,Male,Co-Occuring Disorders,136902,1635737,0.083694384
2022,Statewide,Inpatient,Sex,Male,Mental Health Disorders,203370,1635737,0.124329278
2022,Statewide,Inpatient,Sex,Male,Substance Use Disorders,177386,1635737,0.108444084
2022,Statewide,Inpatient,Funding Source,All Other Payers,All Other Diagnoses,25597,34294,0.746398787
2022,Statewide,Inpatient,Funding Source,All Other Payers,Co-Occuring Disorders,1424,34294,0.041523299
2022,Statewide,Inpatient,Funding Source,All Other Payers,Mental Health Disorders,5204,34294,0.151746661
2022,Statewide,Inpatient,Funding Source,All Other Payers,Substance Use Disorders,2069,34294,0.060331253
2022,Statewide,Inpatient,Funding Source,Medi-Cal,All Other Diagnoses,761516,1131132,0.67323354
2022,Statewide,Inpatient,Funding Source,Medi-Cal,Co-Occuring Disorders,108809,1131132,0.096194785
2022,Statewide,Inpatient,Funding Source,Medi-Cal,Mental Health Disorders,132643,1131132,0.117265713
2022,Statewide,Inpatient,Funding Source,Medi-Cal,Substance Use Disorders,128164,1131132,0.113305963
2022,Statewide,Inpatient,Funding Source,Medicare,All Other Diagnoses,874589,1259416,0.694440122
2022,Statewide,Inpatient,Funding Source,Medicare,Co-Occuring Disorders,54984,1259416,0.043658331
2022,Statewide,Inpatient,Funding Source,Medicare,Mental Health Disorders,265793,1259416,0.211044643
2022,Statewide,Inpatient,Funding Source,Medicare,Substance Use Disorders,64050,1259416,0.050856905
2022,Statewide,Inpatient,Funding Source,Other Government,All Other Diagnoses,63443,101413,0.625590408
2022,Statewide,Inpatient,Funding Source,Other Government,Co-Occuring Disorders,14164,101413,0.139666512
2022,Statewide,Inpatient,Funding Source,Other Government,Mental Health Disorders,17691,101413,0.174445091
2022,Statewide,Inpatient,Funding Source,Other Government,Substance Use Disorders,6115,101413,0.060297989
2022,Statewide,Inpatient,Funding Source,Private Health Insurance,All Other Diagnoses,793033,1018071,0.778956478
2022,Statewide,Inpatient,Funding Source,Private Health Insurance,Co-Occuring Disorders,51903,1018071,0.05098171
